1,0.992317386,0.914813105,0.943093602,0.814197576,0.926457735,0.906735384,0.888511533,0.888511533,0.888511533,1,0.942264725,0.962076051,0.935797168,0.827516671,0.87669303,0.80184704,0.596417295,0.596417295,0.596417295
0.992317386,1,0.942345031,0.934182024,0.832621585,0.938204365,0.942468967,0.892154413,0.892154413,0.892154413,0.942264725,1,0.846152425,0.913443946,0.738065082,0.815198874,0.765724363,0.538741054,0.538741054,0.538741054
0.914813105,0.942345031,1,0.944698639,0.917075538,0.927677878,0.96944267,0.902563532,0.902563532,0.902563532,0.962076051,0.846152425,1,0.885124275,0.836643556,0.823704997,0.795682962,0.571542661,0.571542661,0.571542661
0.943093602,0.934182024,0.944698639,1,0.906950289,0.91117287,0.878741558,0.851576957,0.851576957,0.851576957,0.935797168,0.913443946,0.885124275,1,0.851510193,0.950439276,0.917590884,0.771114622,0.771114622,0.771114622
0.814197576,0.832621585,0.917075538,0.906950289,1,0.879976459,0.843151786,0.775661832,0.775661832,0.775661832,0.827516671,0.738065082,0.836643556,0.851510193,1,0.840996183,0.934408542,0.64904949,0.64904949,0.64904949
0.926457735,0.938204365,0.927677878,0.91117287,0.879976459,1,0.950205908,0.902345032,0.902345032,0.902345032,0.87669303,0.815198874,0.823704997,0.950439276,0.840996183,1,0.8890507,0.897902815,0.897902815,0.897902815
0.906735384,0.942468967,0.96944267,0.878741558,0.843151786,0.950205908,1,0.927145671,0.927145671,0.927145671,0.80184704,0.765724363,0.795682962,0.917590884,0.934408542,0.8890507,1,0.766062311,0.766062311,0.766062311
0.888511533,0.892154413,0.902563532,0.851576957,0.775661832,0.902345032,0.927145671,1,1,1,0.596417295,0.538741054,0.571542661,0.771114622,0.64904949,0.897902815,0.766062311,1,1,1
0.888511533,0.892154413,0.902563532,0.851576957,0.775661832,0.902345032,0.927145671,1,1,1,0.596417295,0.538741054,0.571542661,0.771114622,0.64904949,0.897902815,0.766062311,1,1,1
0.888511533,0.892154413,0.902563532,0.851576957,0.775661832,0.902345032,0.927145671,1,1,1,0.596417295,0.538741054,0.571542661,0.771114622,0.64904949,0.897902815,0.766062311,1,1,1
