factor,none_Clwith,none_Clwithout,new_GW,new_PO,old_GW,old_PO
pre5,-1.29,-0.675,-0.328,-0.322,-0.335,-0.321
post5,-0.0954,-0.0677,-0.197,-0.267,-0.254,-0.282
